Image C=1,I=483
The max ELI is 17758.812500
    228  0.613  30.820  0.2981  0.071
    231  1.123  11.072  0.4177  0.025
    232  0.642   3.138  0.0000  0.090
    233  1.110  21.569  0.1634  0.123
    234  1.261   7.115  0.1227  0.057
    235  1.208  13.465  0.2937  0.044
    236  1.139   3.333  0.0000  0.128
    237  0.574   7.440  0.1662  0.030
    238  1.395  14.146  0.3110  0.047
    240  1.539  13.948  0.1669  0.091
    242  0.930   5.712  0.1086  0.045
    243  1.064   4.191  0.3903  0.010
    245  0.858  12.499  0.3716  0.027
    246  0.770  14.550  0.2602  0.043
    247  1.099  10.802  0.2804  0.036
    248  0.216   0.000  0.0000  0.000
    249  0.745  37.706  0.2922  0.098
    250  1.535  26.692  0.1292  0.226
    251  0.786  13.031  0.3862  0.026
    253  0.678  16.984  0.2787  0.044
    254  1.063   7.142  0.0814  0.080
    255  1.593  29.330  0.2902  0.112
    256  1.375   7.142  0.2582  0.029
    258  0.903   4.966  0.0444  0.094
    259  1.285   2.587  0.0000  0.105
    260  1.856  21.656  0.1807  0.144
    261  2.256   0.000  0.0000  0.000
    263  0.809  20.610  0.5948  0.027
    264  1.243  19.908  0.2729  0.072
    265  1.232   8.074  0.1229  0.064
    267  2.639   8.312  0.2132  0.056
    268  0.915   7.908  0.0001  0.272
    269  0.821  10.357  0.0541  0.153
    270  2.365  93.563  0.3353  0.378
    272  0.833   3.333  0.0000  0.109
    273  0.606  11.589  0.4116  0.019
    274  1.774   8.715  0.4848  0.021
    275  3.110   9.930  0.0733  0.211
    276  0.819   7.567  0.0000  0.246
    278  1.238   0.000  0.0000  0.000
    279  1.190   0.000  0.0000  0.000
    280  0.313   2.500  0.0000  0.050
    281  0.946  14.041  0.1030  0.117
    283  2.332  88.004  0.1531  0.774
    284  0.000   6.865  0.0803  0.000
    286  0.533   0.000  0.0000  0.000
    287  1.541  12.406  0.1400  0.097
    288  0.822   0.000  0.0000  0.000
Image C=21,I=18
The max ELI is 11926.812500
   Line   grad    leng    kurv    eli
      1  0.722  10.548  0.6705  0.007
      2  2.922 138.892  0.2793  0.421
      3  1.414  31.900  0.3922  0.048
      4  2.403  23.892  0.1708  0.107
      5  0.768  41.258  0.1521  0.118
      6  2.295  92.991  0.2548  0.274
      7  3.264  74.968  0.2883  0.233
      8  0.908  10.855  0.6451  0.008
      9  1.542  29.101  0.3607  0.050
     10  0.356  26.313  0.1830  0.043
     11  3.265  90.794  0.3214  0.253
     13  2.738  49.041  0.2458  0.164
     14  0.536  81.229  0.2088  0.141
     15  2.965   9.109  0.2202  0.035
     16  0.592  12.800  0.2205  0.022
     17  2.224   9.943  0.4325  0.017
     18  3.951  38.491  0.3050  0.124
     19  1.956  33.940  0.2343  0.100
     21  0.573  85.973  0.2439  0.132
     23  0.998 131.670  0.3411  0.191
     24  1.100  67.570  0.2301  0.153
     25  0.929   9.635  0.2608  0.018
     26  1.591   2.807  0.0000  0.047
     27  1.971  11.816  0.0741  0.111
     29  1.497  24.199  0.2041  0.072
     30  1.173   8.400  0.2892  0.016
     32  3.751   9.626  0.7222  0.013
     33  3.717  11.457  0.7510  0.015
     34  0.306  39.051  0.2526  0.042
     35  0.938  19.176  0.1552  0.059
     36  2.807 104.665  0.2650  0.328
     37  2.619  80.478  0.2282  0.283
     38  0.518  72.896  0.1338  0.194
     39  0.224  55.622  0.2073  0.063
     40  2.910 265.634  0.3221  0.697
     41  0.841   3.260  0.0000  0.040
     43  0.749  11.000  0.3439  0.014
     44  2.511  85.729  0.3699  0.182
     45  0.834   9.058  0.1165  0.035
     46  0.248  10.712  0.2583  0.010
     47  1.141   4.243  0.0000  0.060
     48  2.484  68.073  0.1364  0.390
