Image C=1,I=483
The max ELI is 770458.000000
    223  0.992  23.104  0.3482  0.011
    224  1.553  14.397  0.1333  0.075
    225  0.635   5.500  0.1399  0.011
    226  1.120  21.556  0.2429  0.024
    228  0.613  30.820  0.2981  0.013
    231  1.123  11.072  0.4177  0.004
    232  0.642   3.138  0.0000  0.198
    233  1.110  21.569  0.1634  0.053
    234  1.261   7.115  0.1227  0.035
    235  1.208  13.465  0.2937  0.011
    236  1.139   3.333  0.0000  0.373
    237  0.574   7.440  0.1662  0.009
    238  1.395  14.146  0.3110  0.012
    240  1.539  13.948  0.1669  0.046
    242  0.930   5.712  0.1086  0.027
    243  1.064   4.191  0.3903  0.002
    245  0.858  12.499  0.3716  0.005
    246  0.770  14.550  0.2602  0.010
    247  1.099  10.802  0.2804  0.009
    248  0.216   0.000  0.0000  0.000
    249  0.745  37.706  0.2922  0.019
    250  1.535  26.692  0.1292  0.145
    251  0.786  13.031  0.3862  0.004
    253  0.678  16.984  0.2787  0.009
    254  1.063   7.142  0.0814  0.068
    255  1.593  29.330  0.2902  0.033
    256  1.375   7.142  0.2582  0.009
    258  0.903   4.966  0.0444  0.135
    259  1.285   2.587  0.0000  0.327
    260  1.856  21.656  0.1807  0.073
    261  2.256   0.000  0.0000  0.000
    263  0.809  20.610  0.5948  0.003
    264  1.243  19.908  0.2729  0.020
    265  1.232   8.074  0.1229  0.039
    267  2.639   8.312  0.2132  0.029
    268  0.915   7.908  0.0001  0.712
    269  0.821  10.357  0.0541  0.172
    270  2.365  93.563  0.3353  0.117
    272  0.833   3.333  0.0000  0.273
    273  0.606  11.589  0.4116  0.002
    274  1.774   8.715  0.4848  0.004
    275  3.110   9.930  0.0733  0.340
    276  0.819   7.567  0.0000  0.609
    278  1.238   0.000  0.0000  0.000
    279  1.190   0.000  0.0000  0.000
    280  0.313   2.500  0.0000  0.077
    281  0.946  14.041  0.1030  0.074
    283  2.332  88.004  0.1531  0.519
    284  0.000   6.865  0.0803  0.000
    286  0.533   0.000  0.0000  0.000
    287  1.541  12.406  0.1400  0.058
    288  0.822   0.000  0.0000  0.000
Image C=21,I=18
The max ELI is 712920.500000
   Line   grad    leng    kurv    eli
      1  0.722  10.548  0.6705  0.001
      2  2.922 138.892  0.2793  0.255
      3  1.414  31.900  0.3922  0.014
      4  2.403  23.892  0.1708  0.096
      5  0.768  41.258  0.1521  0.067
      6  2.295  92.991  0.2548  0.161
      7  3.264  74.968  0.2883  0.144
      8  0.908  10.855  0.6451  0.001
      9  1.542  29.101  0.3607  0.017
     10  0.356  26.313  0.1830  0.014
     11  3.265  90.794  0.3214  0.141
     13  2.738  49.041  0.2458  0.109
     14  0.536  81.229  0.2088  0.049
     15  2.965   9.109  0.2202  0.027
     16  0.592  12.800  0.2205  0.008
     17  2.224   9.943  0.4325  0.006
     18  3.951  38.491  0.3050  0.080
     19  1.956  33.940  0.2343  0.059
     21  0.573  85.973  0.2439  0.041
     23  0.998 131.670  0.3411  0.055
     24  1.100  67.570  0.2301  0.069
     25  0.929   9.635  0.2608  0.006
     26  1.591   2.807  0.0000  0.157
     27  1.971  11.816  0.0741  0.208
     29  1.497  24.199  0.2041  0.043
     30  1.173   8.400  0.2892  0.006
     32  3.751   9.626  0.7222  0.003
     33  3.717  11.457  0.7510  0.004
     34  0.306  39.051  0.2526  0.009
     35  0.938  19.176  0.1552  0.037
     36  2.807 104.665  0.2650  0.205
     37  2.619  80.478  0.2282  0.198
     38  0.518  72.896  0.1338  0.103
     39  0.224  55.622  0.2073  0.014
     40  2.910 265.634  0.3221  0.365
     41  0.841   3.260  0.0000  0.096
     43  0.749  11.000  0.3439  0.003
     44  2.511  85.729  0.3699  0.077
     45  0.834   9.058  0.1165  0.027
     46  0.248  10.712  0.2583  0.002
     47  1.141   4.243  0.0000  0.170
     48  2.484  68.073  0.1364  0.445
     49  0.541 113.058  0.2770  0.039
     51  0.627 110.008  0.2177  0.071
     52  0.859   9.635  0.1798  0.013
     54  1.543  39.772  0.2391  0.053
     55  1.182   6.772  0.0927  0.046
     56  0.999   4.687  0.0000  0.164
     57  0.304  21.917  0.1489  0.015
     58  1.423  17.563  0.2273  0.024
     59  0.256   7.006  0.1429  0.004
     60  1.482  17.910  0.2155  0.028
     61  0.910   5.734  0.0000  0.183
     62  1.203 110.297  0.3204  0.063
     63  0.789   0.000  0.0000  0.000
     64  0.248  34.241  0.3049  0.004
     65  0.252   4.272  0.0000  0.038
     66  3.082 123.815  0.2386  0.328
     67  0.689   7.333  0.0446  0.125
     68  0.686   8.541  0.3614  0.002
     69  1.000  10.952  0.2798  0.007
     70  0.980  10.857  0.1851  0.015
     71  0.328   5.379  0.1815  0.003
     72  0.349   2.404  0.0000  0.029
     73  0.521 103.891  0.2523  0.042
     74  1.067 102.271  0.2877  0.065
     75  0.892   5.550  0.3081  0.003
     76  1.060  16.625  0.1807  0.026
     77  0.498   3.600  0.0000  0.063
     78  2.477  18.070  0.2014  0.054
     79  0.837   3.260  0.0000  0.096
     80  0.483  59.105  0.4215  0.008
     81  0.783   8.126  0.4159  0.002
     82  0.501  11.997  0.1299  0.017
     83  0.250   9.965  0.1502  0.005
     84  0.312   2.062  0.0000  0.023
     85  0.243  50.750  0.1843  0.018
     87  1.018   7.348  0.2222  0.007
     89  0.815  47.541  0.4072  0.011
     90  1.094  47.582  0.1897  0.071
     91  2.204   9.514  0.7771  0.002
     92  3.504  50.287  0.4702  0.039
     93  0.737  19.721  0.1373  0.038
     94  0.347  10.344  0.2029  0.004
     95  0.633  23.448  0.2375  0.013
     96  0.274  83.829  0.1946  0.030
     97  1.936  76.927  0.2778  0.095
     98  0.747   9.545  0.9798  0.000
     99  0.489  22.994  0.1349  0.030
    100  0.474   2.648  0.0000  0.044
    101  0.376   9.346  0.2786  0.002
    102  1.026  51.490  0.2691  0.036
    103  0.681  12.539  0.1546  0.017
    105  1.229  17.536  0.1279  0.065
    107  0.237  62.286  0.2128  0.016
    108  2.506   6.500  0.0000  0.572
    109  0.974  45.667  0.3117  0.022
    110  0.725  20.729  0.5061  0.003
    111  0.704  40.060  0.2457  0.023
    112  0.767  58.903  0.2964  0.025
    115  0.561   0.000  0.0000  0.000
    116  0.517   6.045  0.6232  0.000
    118  1.292  13.120  0.2876  0.010
    119  2.020  81.815  0.3445  0.068
    120  3.404  69.014  0.3640  0.087
    122  1.250   0.000  0.0000  0.000
    123  2.953 137.635  0.3053  0.214
    124  2.625   9.182  0.1570  0.048
    125  0.596   6.140  0.1571  0.007
    126  0.683  43.162  0.2481  0.023
    127  1.877  15.103  0.3117  0.014
    129  2.341  12.320  0.4719  0.006
    131  0.531  18.368  0.4922  0.002
    132  3.176 184.402  0.2535  0.446
    133  0.507  23.400  0.3653  0.004
    134  1.566 175.876  0.1953  0.354
    136  1.724  14.331  0.3467  0.010
    137  2.638  10.347  0.0908  0.162
    139  0.802  21.131  0.1912  0.023
    140  0.506  46.210  0.4647  0.005
    141  0.765  33.716  0.3904  0.008
    142  0.432   4.860  0.1269  0.006
    143  1.328   8.123  0.1009  0.052
    144  2.253  11.160  0.1213  0.084
    145  0.673  21.568  0.2836  0.009
    146  1.567  13.394  0.0482  0.443
    148  0.408  21.356  0.2360  0.008
    150  0.452   7.828  0.0514  0.065
    151  2.428 139.192  0.1821  0.499
    152  1.460   4.634  0.3142  0.003
    154  0.919  23.844  0.4623  0.005
    155  1.588   3.905  0.0000  0.218
    157  2.613  12.684  0.4842  0.007
    159  2.477   7.965  0.1929  0.026
    160  0.199   6.748  0.1889  0.002
    161  1.602 335.428  0.2103  0.595
    162  1.627 158.652  0.2364  0.226
    163  0.905  12.382  0.1619  0.021
    164  0.892   4.031  0.0000  0.126
    165  3.035  18.867  0.5574  0.009
    167  2.868  10.132  0.3520  0.011
    168  0.846  23.419  0.1477  0.044
    169  2.167   4.028  0.0000  0.307
    171  0.629  30.898  0.2847  0.012
    172  0.798   7.887  0.5216  0.001
    173  0.636   7.387  0.4317  0.001
    174  0.366   0.000  0.0000  0.000
    175  1.035  31.243  0.5168  0.006
    177  0.575   8.900  0.0664  0.057
    179  1.227  17.810  0.2950  0.012
    180  0.676  22.347  0.2685  0.010
    182  2.840  70.169  0.1869  0.279
    183  0.580  48.402  0.2352  0.025
    184  3.115 144.709  0.1486  1.000
    185  1.683   5.948  0.1543  0.021
    186  0.964   6.053  0.3081  0.003
    187  1.228   2.603  0.0000  0.112
    188  4.168  15.210  0.1609  0.120
    189  0.575  37.326  0.2634  0.015
    190  1.251  43.845  0.2737  0.036
    191  3.521  27.325  0.1850  0.138
    192  0.640   0.000  0.0000  0.000
    193  0.696  11.532  0.3072  0.004
    196  0.639   2.833  0.0000  0.064
